sample,latitude,longitude
di0247,-23.69,133.88
di0678,-37.22,147.9813834
di0794,-28.05,153.43
di1085,-31.75,140.34
di1426,-36.58,147.35
di1436,-36.07,147.77
di1522,-21.62,144.35
DO-CO-159148,-35.849285,140.75444
DO-CO-167564,-31.15575437,138.2288601
DO-CO-167565,-31.15044225,138.2193422
DO-CO-167767,-31.15041891,138.2193203
DO-CO-168535,-31.549741,132.05994
DO-CO-169117,-35.68230629,140.8906415
DO-CO-170078,-31.69065071,132.4436425
DO-CO-170282,-31.74923348,132.6861153
DO-CO-170647,-32.04803479,134.3509964
DO-CO-175110,-35.17805763,140.928261
Elly01,-30.66,151.79
HF014,-36.43,147.98
HF081,-37.18,148.94
HF093,-37.75,147.93
HF145,-36.16,147.33
HF154,-37.4,147.09
HF225,-36.83,147.62
LV3003932745,-37.14,146.25
ND0090,-30.93,152.54
ND0413,-35.13,148.73
ND0934,-30.18,144.42
ND1006,-35.92,148.03
ND1009,-35.35,148.5
ND1012,-35.67,148.36
ND1034,-31.1,143.94
ND1039,-30.48,143.91
ND1099,-34.78,148.83
ND1304,-30.28,152.68
ND1602,-29.41,152.82
ND1603,-30.04,153.17
ND1644,-31.22,143.37
ND1782,-35.85,148.83
WA0021,-27.32,118.32
WA0164,-26.88,117.6
WA0517,-27.78,117.89
WA0741,-27.09,119.12
WA1142,-27.23,119.42
wdi0817,-20.94,118.06
wdi0828,-30.39,122.51
wdi0964,-27.31,115.91
Dingo_Ancient_Nullarbor_A19058,-31.452438,129
Dingo_Ancient_Nullarbor_A19053,-31.452438,130.432094
Dingo_Alpine_Cooinda,-34.264099,150.5748
Dingo_Alpine_D01,-37.563751,144.568549
Dingo_Alpine_D05,-36.411517,148.384041
Dingo_Alpine_D07,-37.211651,147.131633
Dingo_Desert_Sandy,-29.1,140.1
Dingo_FraserIsland_D02,-25.250672,153.132173
Dingo_Gibson_Desert_D08,-25.193006,114.699963
Dingo_Kimberley_D09,-21.675574,121.598533
Dingo_Northern_Queensland_D04,-16.258719,145.330773
Dingo_Northern_Queensland_D10,-15.442037,145.217011
Dingo_Northern_Territory_D06,-12.44222,130.957901
Dingo_Simpson_Desert_D03,-24.486439,138.41188
Dingo_Ancient_Curracurrang_D10,-34.145507,151.110011
Dingo_Ancient_Curracurrang_D13,-34.145507,151.110011
Dingo_Ancient_Curracurrang_D16,-34.145507,151.110011
Dingo_FraserIsland_Y07,-25.250672,153.132173
Dingo_FraserIsland_Y47,-25.250672,153.132173
Dingo_FraserIsland_E56,-25.250672,153.132173
Dingo02,NA,NA
Dingo03,-17.269,125.868
Dingo04,-28.183,119.105
Dingo05,-36.505,147.083
Dingo06,-36.184,147.528
Dingo07,-29.561,138.449
Dingo08,-35.798,148.913
Dingo09,-27.133,149.383
Dingo10,-20.542,130.317
Dingo11,-25.45,153.067
Dingo12,-35.777,148.248
Dingo13,NA,NA
Dingo14,NA,NA
Dingo15,NA,NA
Dingo16,NA,NA
Dingo17,NA,NA
Dingo18,NA,NA
Dingo19,NA,NA
Dingo20,NA,NA
Dingo21,NA,NA
Dingo22,NA,NA
Dingo32,-35.31,141.38
Dingo31,-35.81,141.96
Dingo30,-33.26,150.17
Dingo29,-32.99,149.33
Dingo28,-32.53,152.32
Dingo27,-32.53,152.32
Dingo26,-37.03,147.65
Dingo25,-37.54,145.67
Dingo24,NA,NA
Dingo23,-36.22,148.66
